"source","dest","x"
"1171319695","1127689057",4
"1225477317297758209","1127689057",1
"1349846941","1127689057",1
"20507623","1127689057",1
"1127689057","1171319695",10
"1171319695","1171319695",1
"1323245358","1171319695",5
"1349846941","1171319695",2
"217015882","1171319695",2
"2286289599","1171319695",7
"2937039652","1171319695",1
"464762135","1171319695",2
"1171319695","1224713640281964544",4
"1225477317297758209","1224713640281964544",1
"2286289599","1224713640281964544",1
"811734345882996740","1224713640281964544",3
"2937039652","1225477317297758209",1
"1171319695","1323245358",3
"464762135","1323245358",1
"1171319695","1349846941",2
"2286289599","14499829",1
"2937039652","14499829",6
"1127689057","152342302",7
"1171319695","152342302",4
"217015882","152342302",1
"1127689057","15438913",1
"1171319695","17507659",1
"17507659","17507659",1
"1349846941","20507623",1
"1171319695","217015882",2
"1171319695","2286289599",1
"811734345882996740","2286289599",1
"1127689057","2467791",1
"2937039652","2467791",1
"1127689057","272065025",1
"1171319695","272065025",1
"1127689057","2937039652",1
"1171319695","2937039652",3
"1225477317297758209","2937039652",1
"2286289599","2937039652",2
"1171319695","464762135",9
"1349846941","464762135",1
"1171319695","811734345882996740",1
"1224713640281964544","811734345882996740",1
"1225477317297758209","811734345882996740",1
"2286289599","811734345882996740",4
