region,value
16025,44555
16027,39279
16029,50756
16031,41067
16033,39932
16035,37261
16037,38614
16039,39691
16041,41653
16043,41039
16045,41079
16047,38416
16049,36672
16051,49241
16053,38682
16055,48061
16057,40638
16059,35680
16061,38305
16063,39639
16065,34540
16067,39028
16069,43478
16071,41885
16073,32564
16075,40585
16077,41337
16079,34809
16081,48962
16083,41478
16085,45455
16087,34910
17001,40550
17003,28030
17005,45069
17007,55367
17009,43263
17011,45625
17013,45107
17015,40586
17017,42087
17019,43631
17021,45931
17023,43045
17025,39401
17027,57511
17029,36597
17031,50027
17033,44189
17035,44063
17037,50407
17039,49569
17041,45734
17043,70927
17045,41321
17047,42476
17049,47335
17051,40001
17053,48706
17055,33182
17057,43096
17059,37523
17061,38675
17063,63678
17065,39365
17067,44605
17069,34006
17071,41868
17073,48467
17075,43687
17077,31844
17079,48532
17081,37815
17083,50525
17085,46101
17087,37166
17089,66440
17091,46111
17093,74069
17095,36728
17097,69845
17099,46021
17101,36891
17103,49405
17105,49119
17107,47419
17109,38743
17111,70410
17113,57900
17115,42944
17117,46581
17119,50091
17121,38099
17123,47334
17125,42372
17127,38475
17129,55938
17131,49870
17133,66589
17135,39629
17137,44845
17139,44308
17141,47738
17143,46337
17145,38994
17147,61637
17149,36668
17151,35967
17153,32388
17155,54345
17157,41840
17159,39044
17161,44787
17163,44957
17165,36530
17167,51385
17169,46319
17171,42782
17173,47027
17175,48756
17177,39892
17179,53513
17181,39801
17183,40997
17185,44034
17187,42564
17189,50187
17191,39891
17193,39636
17195,46953
17197,69439
17199,40956
17201,43907
17203,62341
18001,44639
18003,42394
18005,50535
18007,45864
18009,36615
18011,63281
18013,47497
18015,48904
18017,38696
18019,46773
18021,43736
18023,43967
18025,35351
18027,42386
18029,51219
18031,44327
18033,46757
18035,34516
18037,51711
18039,42892
18041,37395
18043,51932
18045,39739
18047,49788
18049,41231
18051,45176
18053,36571
18055,40719
18057,78137
18059,62993
18061,46796
18063,63772
18065,39182
18067,42044
18069,41688
18071,46139
18073,49992
18075,38916
18077,41447
18079,41433
18081,54808
18083,41003
18085,47989
18087,48181
18089,44955
18091,43345
18093,41323
18095,38237
18097,38573
18099,42643
18101,43558
18103,40633
18105,39434
